tcin,brand,productName,price,regPrice,rating,reviewCount,boughtPastMonth,formFactor,category,url,searchQuery
90022204,Carlyle,Carlyle Reishi Mushroom 5000mg | 300 Capsules,20.99,20.99,0.0,0,,Capsule,,https://www.target.com/p/-/A-90022204,mushroom supplement
1002978885,Real Mushrooms,"Real Mushrooms Cordyceps-M®, Mushroom Extract Powder, 2.12 oz (60 g)",36.99,36.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002978885,mushroom supplement
1001874186,Force Factor,"Force Factor Beetroot + Mushrooms, 120 Vegetable Capsules",18.99,18.99,0.0,0,,Capsule,,https://www.target.com/p/-/A-1001874186,mushroom supplement
91719577,Host Defense,"Host Defense Mushrooms Lion's Mane - Aid Focus, Memory & Brain Health - 120 Capsules (60 Servings)*",47.21,47.21,,,,Capsule,,https://www.target.com/p/-/A-91719577,mushroom supplement
91719580,Host Defense,"Host Defense Chaga Extract, Mushroom Supplement, Plain, 1 fl oz",15.71,15.71,,,,Other,,https://www.target.com/p/-/A-91719580,mushroom supplement
90005300,Piping Rock,Piping Rock Reishi Mushroom Supplement 2500mg | 100 Capsules,14.99,14.99,4.87,52,,Capsule,,https://www.target.com/p/-/A-90005300,mushroom supplement
93164526,Four Sigmatic,Four Sigmatic Focus Organic Mushroom Vitamin Capsules - 90ct,29.99,29.99,5.0,10,,Capsule,,https://www.target.com/p/-/A-93164526,mushroom supplement
1005268219,BulkSupplements,BulkSupplements Organic Chaga Mushroom Powder (VariantSize},17.97,17.97,,,,Powder,,https://www.target.com/p/-/A-1005268219,mushroom supplement
84810751,Horbaach,Horbaach Mushroom Complex Supplement | 150 Capsules,14.19,14.19,3.34,3,,Capsule,,https://www.target.com/p/-/A-84810751,mushroom supplement
91719528,Host Defense,"Host Defense MycoBotanicals Blood Sugar Capsules, Mushroom and Herb Supplement, Unflavored, 60 Ct.",23.96,23.96,0.0,0,,Capsule,,https://www.target.com/p/-/A-91719528,mushroom supplement
1002978407,Real Mushrooms,"Real Mushrooms Turkey Tail, Organic Mushroom Extract Powder, 1.59 oz (45 gm)",41.99,41.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002978407,mushroom supplement
91719593,Host Defense,"Host Defense Breathe Extract, Mushroom Supplement with Cordyceps, Reishi and Chaga, Plain, 1 fl oz",15.71,15.71,,,,Other,,https://www.target.com/p/-/A-91719593,mushroom supplement
1002538702,Real Mushrooms,"Real Mushrooms Reishi, Mushroom Extract Powder, 90 Capsules (500 mg per Capsule)",41.99,41.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002538702,mushroom supplement
91719552,Host Defense,Host Defense Stamets 7 Mushroom Powder - 7 Species Blend for Immune Support - 3.5 oz (66 Servings)*,23.96,23.96,0.0,0,,Powder,,https://www.target.com/p/-/A-91719552,mushroom supplement
1004310004,BulkSupplements,BulkSupplements Organic Lion's Mane Mushroom Extract Powder 100 grams (3.5 oz),14.42,16.97,,,,Powder,,https://www.target.com/p/-/A-1004310004,mushroom supplement
91719605,Host Defense,"Host Defense Cordyceps Extract, Mushroom Supplement, Plain, 1 fl oz",15.71,15.71,,,,Other,,https://www.target.com/p/-/A-91719605,mushroom supplement
93567399,EVLution Nutrition,Evlution Nutrition MushroomMode - Memory & Nerve Support - 30 Servings,13.99,17.49,5.0,3,,Other,,https://www.target.com/p/-/A-93567399,mushroom supplement
91719524,Host Defense,"Host Defense Chaga Capsules, Mushroom Supplement, Unflavored, 120 Ct.",47.21,47.21,,,,Capsule,,https://www.target.com/p/-/A-91719524,mushroom supplement
1006114520,Vitauthority,"Bone Broth Collagen, Protein & Collagen Supplement for Joints, Skin, & Gut Health, Mushroom & Herb Flavor, Vitauthority, 15 Servings",39.99,47.98,,,,Other,,https://www.target.com/p/-/A-1006114520,mushroom supplement
1004617724,BulkSupplements,BulkSupplements White Button Mushroom Extract Capsules (VariantSize},23.97,23.97,,,,Capsule,,https://www.target.com/p/-/A-1004617724,mushroom supplement
1004309530,BulkSupplements,BulkSupplements Lion's Mane Mushroom Extract Capsules 360 Capsules,21.22,24.97,,,,Capsule,,https://www.target.com/p/-/A-1004309530,mushroom supplement
90143636,HABIT,"HABIT Hair Skin and Nails Vegan Capsules - 60ct: Dietary Supplements, Unflavored, 60 Capsules",7.99,7.99,4.15,35,1k+ bought in last month,Capsule,,https://www.target.com/p/-/A-90143636,mushroom supplement
91466971,The Friendly Patch CO.,"The Friendly Patch Clarity Mushroom 8 pack Lion Mane, Reishi, Cordyceps",17.97,19.97,4.92,37,,Other,,https://www.target.com/p/-/A-91466971,mushroom supplement
1005480662,BulkSupplements,BulkSupplements Maitake Mushroom Extract Capsules (VariantSize},23.97,23.97,,,,Capsule,,https://www.target.com/p/-/A-1005480662,mushroom supplement
84965467,Horbaach,Horbaach Reishi Mushroom Liquid Extract | 2 fl oz,15.99,15.99,0.0,0,,Liquid,,https://www.target.com/p/-/A-84965467,mushroom supplement
91816888,MaryRuth's,MaryRuth&#39;s Sea Moss Vitamin Vegan Supplement Gummies - Green Apple - 60ct,19.99,19.99,4.23,22,,Gummy,,https://www.target.com/p/-/A-91816888,mushroom supplement
1002538665,Real Mushrooms,"Real Mushrooms Lion's Mane, Mushroom Extract Powder, 120 Capsules",36.99,36.99,5.0,1,,Powder,,https://www.target.com/p/-/A-1002538665,mushroom supplement
92813569,Piping Rock,Piping Rock Shiitake Mushroom Extract | 1000 mg | 120 Capsules,13.49,13.49,4.84,6,,Capsule,,https://www.target.com/p/-/A-92813569,mushroom supplement
94493245,Ritual,"Ritual HyaCera Daily Vegan Skin Hydration Capsules - 30ct: Dietary Supplement, Capsule Form",59.99,59.99,3.64,72,400+ bought in last month,Capsule,,https://www.target.com/p/-/A-94493245,mushroom supplement
91719563,Host Defense,"Host Defense Reishi Capsules, Mushroom Supplement, Unflavored, 60 Ct.",25.46,25.46,,,,Capsule,,https://www.target.com/p/-/A-91719563,mushroom supplement
1004684218,BulkSupplements,BulkSupplements Reishi Mushroom Extract Capsules (VariantSize},23.97,23.97,,,,Capsule,,https://www.target.com/p/-/A-1004684218,mushroom supplement
1004683725,BulkSupplements,BulkSupplements Reishi Mushroom Extract Powder (VariantSize},16.97,16.97,,,,Powder,,https://www.target.com/p/-/A-1004683725,mushroom supplement
1002538689,Real Mushrooms,"Real Mushrooms RealClarity™, Mushrooms & Herbs, 60 Capsules",36.99,36.99,0.0,0,,Capsule,,https://www.target.com/p/-/A-1002538689,mushroom supplement
1002538697,Real Mushrooms,"Real Mushrooms Cordycep-M®, Mushroom Extract Powder, 120 Capsules",36.99,36.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002538697,mushroom supplement
1002617639,Om Mushrooms,"Om Mushrooms Mushroom Powder, Cordyceps, 3.5 oz (100 g)",23.99,23.99,4.84,189,,Powder,,https://www.target.com/p/-/A-1002617639,mushroom supplement
93143040,HABIT,HABIT Brain Focus Capsules - 60ct,7.99,7.99,4.69,19,700+ bought in last month,Capsule,,https://www.target.com/p/-/A-93143040,mushroom supplement
1004054865,B Beworth,"Organic Instant Mushroom Coffee Powder - with Reishi, Cordyceps, Lion's Mane, Chaga - Energy & Immunity Support, 70g",20.99,26.23,,,,Coffee,,https://www.target.com/p/-/A-1004054865,mushroom supplement
1009518025,ELMNT,"ELMNT Lion's Mane Mushroom Brain Booster, Made with Lion's Mane, Ashwagandha, & Rhodiola, Dietary Supplement - 60 Capsules",20.99,25.95,0.0,0,,Capsule,,https://www.target.com/p/-/A-1009518025,mushroom supplement
1004822705,Nature's Nutrition,"Mushroom Complex Supplement Capsules - 10 Mushrooms Lions Mane, Reishi, Chaga - 120 Capsules By Nature's Nutrition",20.92,26.15,,,,Capsule,,https://www.target.com/p/-/A-1004822705,mushroom supplement
93908001,MaryRuth's,"MaryRuth's Reishi Mushroom Liposomal, Candied Pecan, 7.6 fl oz",24.99,24.99,5.0,2,,Other,,https://www.target.com/p/-/A-93908001,mushroom supplement
93441216,Youtheory,"Youtheory Mushroom Immune Complex - Organic Mushroom Blend with Chaga, Cordyceps, Lion's Mane, Maitake & More - 60 Vegetarian Capsules",15.99,15.99,5.0,2,,Powder,,https://www.target.com/p/-/A-93441216,mushroom supplement
95050851,AKASHA SUPERFOODS,"AKASHA SUPERFOODS Sea Moss Vitality Blend Capsules - 60ct: Dietary Supplements, Mineral Supplements",31.99,31.99,0.0,0,,Powder,,https://www.target.com/p/-/A-95050851,mushroom supplement
90215097,Lemme,"Lemme Sea Moss Organic Liquid Drops - Daily Wellness, Immunity, Beauty - Organic Irish Sea Moss, Vitamin D3, Biotin - 1 fl oz",25.49,25.49,4.34,301,,Liquid,,https://www.target.com/p/-/A-90215097,mushroom supplement
94708666,Country Farms,"Country Farms Mushroom Gummies - 60ct: Multivitamin, Health Supplement",17.99,17.99,5.0,1,,Gummy,,https://www.target.com/p/-/A-94708666,mushroom supplement
94744723,Better Alt,Better Alt Shilajit Advance Capsules - Energy Supplement with Himalayan Shilajit &#38; Sea Moss - 42ct,14.99,14.99,4.56,610,,Capsule,,https://www.target.com/p/-/A-94744723,mushroom supplement
1002538655,Real Mushrooms,"Real Mushrooms Turkey Tail, Mushroom Extract Powder, 90 Capsules",41.99,41.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002538655,mushroom supplement
91719547,Host Defense,"Host Defense Lion's Mane Powder - Aid Focus, Memory & Brain Health - 3.5 oz (66 Servings)*",23.96,23.96,,,,Powder,,https://www.target.com/p/-/A-91719547,mushroom supplement
1002538928,Real Mushrooms,"Real Mushrooms 5 Defenders®, Mushroom Extract Powder, 1.59 oz (45 g)",41.99,41.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002538928,mushroom supplement
1002538725,Real Mushrooms,"Real Mushrooms 5 Defenders®, Mushroom Extract Powder, 90 Capsules",41.99,41.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002538725,mushroom supplement
