productId,brand,shopDomain,productName,productType,price,compareAtPrice,formFactor,mushroomTypes,variantCount,tags,url
everydaydose.com_7515898839105,Everyday Dose,everydaydose.com,90 Servings of Coffee + FREE Starter Kit,C+ 90 Serving Starter Kit,135.0,,Coffee,Other,1,"coffee+, YGroup_TheDoseKit",https://everydaydose.com/products/90-servings-of-coffee-free-starter-kit
everydaydose.com_7515896643649,Everyday Dose,everydaydose.com,30 Servings of Mushroom Matcha + FREE Starter Kit,C+ 30 Serving Starter Kit,50.0,50.0,Powder,Other,1,"matcha, YGroup_TheDoseKit",https://everydaydose.com/products/30-servings-of-mushroom-matcha-free-starter-kit
everydaydose.com_7491689840705,Everyday Dose,everydaydose.com,30 Servings of Coffee+ Medium Roast + FREE Starter Kit,C+ 30 Serving Starter Kit,45.0,,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-bold-coffee
everydaydose.com_7481055805505,Everyday Dose,everydaydose.com,30 Servings of Mushroom Coffee + FREE Starter Kit,C+ 30 Serving Starter Kit,45.0,45.0,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/v-day
everydaydose.com_7466464149569,Everyday Dose,everydaydose.com,30-Serving Mushroom Coffee (Year Commitment),C+ 30 Serving Bag,45.0,,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-mushroom-coffee-year-commitment
everydaydose.com_7468819415105,Everyday Dose,everydaydose.com,30-Serving Mushroom Coffee (One Year Commitment),C+ 30 Serving Bag,45.0,,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-mushroom-coffee-one-year-commitment
everydaydose.com_7462020644929,Everyday Dose,everydaydose.com,30-Serving Mushroom Coffee (1 Year Commitment),C+ 30 Serving Bag,45.0,,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-mushroom-coffee-1-year-commitment
everydaydose.com_7462020481089,Everyday Dose,everydaydose.com,30-Serving Mushroom Coffee (6 Month Commitment),C+ 30 Serving Bag,45.0,,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-mushroom-coffee-6-month-commitment
everydaydose.com_7461724127297,Everyday Dose,everydaydose.com,30 Serving of Mushroom Coffee + FREE Starter Kit + 1 FREE Mushroom Glass,C+ 30 Serving Starter Kit,27.0,60.0,Coffee,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-serving-of-mushroom-coffee-free-starter-kit-1-week-of-free-mushroom-coffee-1-free-mushroom-glass
everydaydose.com_7451037466689,Everyday Dose,everydaydose.com,30 Servings of Mushroom Matcha + FREE Starter Kit PREPAID,C+ 30 Serving Starter Kit,60.0,50.0,Powder,Other,1,YGroup_TheDoseKit,https://everydaydose.com/products/30-servings-of-mushroom-matcha-free-starter-kit-prepaid
